CD_Projekt_Red;kurs_GBP_PLN;Pallad;ETF_SP500
0,085693787;0,025247428;0,061529777;0,049582978
0,108900788;-0,016789635;-0,106365445;0,009191824
0,050040123;-0,016830413;0,055175017;-0,039565633
0,158328232;0,034161887;-0,000707418;0,047083484
-0,019137705;0,032273926;-0,141533325;-0,017695554
0,108285406;-0,00330636;-0,097105366;0,01942422
-0,086647745;-0,017051704;-0,019079922;-0,058130686
0,102744306;-0,007457722;0,083444874;-0,029159767
-0,012343296;0,035996414;0,03484306;0,106780123
-0,163349409;0,020539214;-0,222441187;0,054366177
-0,019690806;-0,050178418;0,037675999;-0,049618321
0,041548153;0,004905812;-0,120500247;-0,027684831
-0,003911809;-0,0432512;-0,007858983;-0,008703452
0,110988685;-0,038753674;0,131556958;-0,000868684
-0,009759882;0,041358319;0,107044092;0,021046319
0,053205487;0,022484799;-0,137441132;0,051219279
0,020609437;-0,086987013;0,092743776;0,000909968
0,239063096;-0,014266505;0,167584651;0,027597339
0,199925844;-0,004143004;-0,052618213;0,007139974
-0,064126076;-0,035892988;0,070704667;-0,018101305
0,000500936;-0,0313687;-0,151579593;0,009667637
0,179275512;0,090938922;0,215148787;0,097443058
0,089919915;-0,019795936;-0,125017684;0,007722664
0,116493258;-0,024013382;0,104295837;-0,023636837
0,183336226;0,000913119;0,023160682;0,054732962
0,051853007;-0,014286143;0,032179417;-0,018239357
-0,090354294;0,011219927;0,03866369;-0,013919082
0,166653044;-0,048062304;-0,010483752;-0,03103313
0,086237493;0,007769239;0,029292784;0,007043831
0,005345608;-0,016393073;0,049444846;-0,012040394
-0,036511624;-0,030211802;0,056396488;-0,007523923
0,332129619;0,059701175;-0,000405009;0,043005345
0,036663765;-0,011382106;0,044299726;0,02391734
-0,172334011;-0,012011282;0,029502858;-0,003868608
-0,045396675;-0,016466255;0,051233881;-0,000916568
